id,coord_x,coord_y,depth,clay,silt,sand
ctb0799-24,-40.10461,-9.066422,25,1,20,79
ctb0799-25,-39.92549,-8.992017,10,10,19,71
ctb0799-25,-39.92549,-8.992017,27.5,8,20,72
ctb0799-26,-40.09519,-9.076416,7.5,6,29,65
ctb0799-26,-40.09519,-9.076416,22.5,5,24,71
ctb0799-26,-40.09519,-9.076416,47.5,12,30,58
ctb0799-27,-40.20561,-9.057946,7.5,38,46,16
ctb0799-27,-40.20561,-9.057946,20,40,33,27
ctb0799-27,-40.20561,-9.057946,42.5,8,60,32
ctb0799-28,-40.20277,-9.063055,7.5,19,57,24
ctb0799-28,-40.20277,-9.063055,41.5,31,59,10
ctb0799-29,-40.15587,-9.071002,7.5,3,15,82
ctb0799-29,-40.15587,-9.071002,32.5,22,18,60
ctb0799-4,-40.31175,-9.133034,5,2,14,84
ctb0799-4,-40.31175,-9.133034,17.5,7,27,66
ctb0799-4,-40.31175,-9.133034,50,22,14,64
ctb0799-6,-39.72638,-8.698717,7.5,10,18,72
ctb0799-6,-39.72638,-8.698717,25,21,19,60
ctb0799-7,-39.65028,-8.63167,7.5,4,18,78
ctb0799-7,-39.65028,-8.63167,25,8,18,74
ctb0799-8,-39.69031,-8.65215,7.5,6,18,76
ctb0799-8,-39.69031,-8.65215,32.5,11,29,60
ctb0799-9,-39.70745,-8.727767,10,7,17,76
ctb0799-Am-Extra-01,-40.72629,-9.414375,10,5,9,86
ctb0799-Am-Extra-01,-40.72629,-9.414375,30,8,8,84
ctb0799-Am-Extra-02,-40.71547,-9.432238,10,1,11,88
ctb0799-Am-Extra-02,-40.71547,-9.432238,30,2,9,89
ctb0799-Am-Extra-03,-40.59463,-9.462264,10,2,27,71
ctb0799-Am-Extra-03,-40.59463,-9.462264,30,24,40,36
ctb0799-Am-Extra-04,-40.44025,-9.354588,10,4,32,64
ctb0799-Am-Extra-04,-40.44025,-9.354588,30,8,26,66
ctb0799-Am-Extra-05,-40.32719,-9.251292,10,2,17,81
ctb0799-Am-Extra-05,-40.32719,-9.251292,40,26,10,64
ctb0799-Am-Extra-06,-40.29674,-9.137501,10,25,37,38
ctb0799-Am-Extra-06,-40.29674,-9.137501,30,43,22,35
ctb0799-Am-Extra-07,-39.65142,-8.629208,7.5,5,11,84
ctb0799-Am-Extra-08,-39.71977,-8.672844,7.5,1,23,76
ctb0799-Am-Extra-08,-39.71977,-8.672844,27.5,26,12,62
ctb0799-Am-Extra-09,-39.65891,-8.617347,7.5,9,22,69
ctb0799-Am-Extra-09,-39.65891,-8.617347,32.5,15,22,63
ctb0799-Am-Extra-11,-39.7964,-8.792077,12.5,6,20,74
ctb0799-Am-Extra-11,-39.7964,-8.792077,40,26,11,63
ctb0799-Am-Extra-12,-39.83792,-8.762394,7.5,11,14,75
ctb0799-Am-Extra-12,-39.83792,-8.762394,32.5,42,9,49
ctb0799-Am-Extra-13,-39.93792,-8.991135,5,3,10,87
ctb0799-Am-Extra-13,-39.93792,-8.991135,15,13,17,70
ctb0799-Am-Extra-13,-39.93792,-8.991135,40,32,12,56
ctb0799-Am-Extra-14,-40.14939,-9.085474,7.5,31,57,12
ctb0799-Am-Extra-14,-40.14939,-9.085474,27.5,35,47,18
ctb0801-1588,-49.5411,-22.40107,8.5,6,6,88
ctb0801-1588,-49.5411,-22.40107,25.5,7,5,88
ctb0801-1589,-49.51764,-22.31759,7.5,19,7,74
ctb0801-1589,-49.51764,-22.31759,29,20,8,72
ctb0801-1590,-49.98784,-22.2153,11,7,10,83
ctb0801-1590,-49.98784,-22.2153,41,7,23,70
ctb0801-1592,-49.78617,-22.25446,12.5,4,9,87
ctb0801-1592,-49.78617,-22.25446,35,3,8,89
ctb0801-1593,-49.51062,-22.02326,10,10,7,83
